seed,topology,traffic_level,destination_pattern,mask_target,routing_pressure,ablation,baseline_hops,tested_hops,baseline_congested_hops,tested_congested_hops,baseline_mask_size,tested_mask_size,baseline_energy_proxy,tested_energy_proxy,baseline_latency_proxy,tested_latency_proxy,path_changed
11,8x8,high,dispersed,8,high,space_bits_only,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,high,dispersed,8,high,mask_only,4,4,0,0,18,8,7.24,5.44,4.0,4.0,0
11,8x8,high,dispersed,8,high,both,4,4,0,0,18,8,7.24,5.44,4.0,4.0,0
11,8x8,high,dispersed,8,high,null_dispatch,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
11,8x8,high,dispersed,12,low,baseline,8,8,0,0,18,18,11.24,11.24,8.0,8.0,0
11,8x8,high,dispersed,12,low,space_bits_only,8,8,0,0,18,18,11.24,11.24,8.0,8.0,0
11,8x8,high,dispersed,12,low,mask_only,8,8,0,0,18,12,11.24,10.16,8.0,8.0,0
11,8x8,high,dispersed,12,low,both,8,8,0,0,18,12,11.24,10.16,8.0,8.0,0
11,8x8,high,dispersed,12,low,null_dispatch,8,8,0,0,18,18,11.24,11.24,8.0,8.0,0
11,8x8,high,dispersed,12,high,baseline,5,5,0,0,18,18,8.24,8.24,5.0,5.0,0
11,8x8,high,dispersed,12,high,space_bits_only,5,5,0,0,18,18,8.24,8.24,5.0,5.0,0
11,8x8,high,dispersed,12,high,mask_only,5,5,0,0,18,12,8.24,7.16,5.0,5.0,0
11,8x8,high,dispersed,12,high,both,5,5,0,0,18,12,8.24,7.16,5.0,5.0,0
11,8x8,high,dispersed,12,high,null_dispatch,5,5,0,0,18,18,8.24,8.24,5.0,5.0,0
11,8x8,high,dispersed,18,low,baseline,6,6,1,1,18,18,10.14,10.14,7.75,7.75,0
11,8x8,high,dispersed,18,low,space_bits_only,6,6,1,1,18,18,10.14,10.14,7.75,7.75,0
11,8x8,high,dispersed,18,low,mask_only,6,6,1,1,18,18,10.14,10.14,7.75,7.75,0
11,8x8,high,dispersed,18,low,both,6,6,1,1,18,18,10.14,10.14,7.75,7.75,0
11,8x8,high,dispersed,18,low,null_dispatch,6,6,1,1,18,18,10.14,10.14,7.75,7.75,0
11,8x8,high,dispersed,18,high,baseline,5,5,1,1,18,18,9.14,9.14,6.75,6.75,0
11,8x8,high,dispersed,18,high,space_bits_only,5,7,1,0,18,18,9.14,10.24,6.75,7.0,1
11,8x8,high,dispersed,18,high,mask_only,5,5,1,1,18,18,9.14,9.14,6.75,6.75,0
11,8x8,high,dispersed,18,high,both,5,7,1,0,18,18,9.14,10.24,6.75,7.0,1
11,8x8,high,dispersed,18,high,null_dispatch,5,5,1,1,18,18,9.14,9.14,6.75,6.75,0
23,8x8,low,clustered,4,low,baseline,5,5,0,0,18,18,8.24,8.24,5.0,5.0,0
23,8x8,low,clustered,4,low,space_bits_only,5,5,0,0,18,18,8.24,8.24,5.0,5.0,0
23,8x8,low,clustered,4,low,mask_only,5,5,0,0,18,4,8.24,5.72,5.0,5.0,0
23,8x8,low,clustered,4,low,both,5,5,0,0,18,4,8.24,5.72,5.0,5.0,0
23,8x8,low,clustered,4,low,null_dispatch,5,5,0,0,18,18,8.24,8.24,5.0,5.0,0
23,8x8,low,clustered,4,high,baseline,3,3,0,0,18,18,6.24,6.24,3.0,3.0,0
23,8x8,low,clustered,4,high,space_bits_only,3,3,0,0,18,18,6.24,6.24,3.0,3.0,0
23,8x8,low,clustered,4,high,mask_only,3,3,0,0,18,4,6.24,3.72,3.0,3.0,0
23,8x8,low,clustered,4,high,both,3,3,0,0,18,4,6.24,3.72,3.0,3.0,0
23,8x8,low,clustered,4,high,null_dispatch,3,3,0,0,18,18,6.24,6.24,3.0,3.0,0
23,8x8,low,clustered,8,low,baseline,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
23,8x8,low,clustered,8,low,space_bits_only,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
23,8x8,low,clustered,8,low,mask_only,4,4,0,0,18,8,7.24,5.44,4.0,4.0,0
23,8x8,low,clustered,8,low,both,4,4,0,0,18,8,7.24,5.44,4.0,4.0,0
23,8x8,low,clustered,8,low,null_dispatch,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
23,8x8,low,clustered,8,high,baseline,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
23,8x8,low,clustered,8,high,space_bits_only,4,4,0,0,18,18,7.24,7.24,4.0,4.0,0
